type,value,description
cid,D437,Neoplasia de comportamento incerto ou desconhecido de outras partes do sistema nervoso central
cid,D439,"Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado"
cid,D440,Neoplasia de comportamento incerto ou desconhecido da glândula tireóide
cid,D441,Neoplasia de comportamento incerto ou desconhecido da glândula supra-renal (adrenal)
cid,D442,Neoplasia de comportamento incerto ou desconhecido da glândula paratireóide
cid,D443,Neoplasia de comportamento incerto ou desconhecido da glândula hipófise (pituitária)
cid,D444,Neoplasia de comportamento incerto ou desconhecido do conduto craniofaríngeo
cid,D445,Neoplasia de comportamento incerto ou desconhecido da glândula pineal
cid,D446,Neoplasia de comportamento incerto ou desconhecido do corpo carotídeo
cid,D447,Neoplasia de comportamento incerto ou desconhecido dos corpos aórticos e outros paragânglios
cid,D448,Neoplasia de comportamento incerto ou desconhecido com comprometimento pluriglandular
cid,D449,"Neoplasia de comportamento incerto ou desconhecido de glândula endócrina, não especificada"
cid,D45,Policitemia vera
cid,D460,Anemia refratária sem sideroblastos
cid,D461,Anemia refratária com sideroblastos
cid,D462,Anemia refratária com excesso de blastos
cid,D463,Anemia refratária com excesso de blastos com transformação
cid,D464,"Anemia refratária, não especificada"
cid,D467,Outras síndromes mielodisplásicas
cid,D469,"Síndrome mielodisplásica, não especificada"
cid,D470,Tumores de comportamento incerto ou desconhecido de mastócitos e células histiocíticas
cid,D471,Doença mieloproliferativa crônica
cid,D472,Gamopatia monoclonal
cid,D473,Trombocitemia essencial (hemorrágica)
cid,D477,"Outras neoplasias especificadas de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos relacionados"
cid,D479,"Neoplasia de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos, não especificada"
cid,D480,Neoplasia de comportamento incerto ou desconhecido dos ossos e cartilagens articulares
cid,D481,Neoplasia de comportamento incerto ou desconhecido do tecido conjuntivo e outros tecidos moles
cid,D482,Neoplasia de comportamento incerto ou desconhecido dos nervos periféricos e do sistema nervoso periférico
cid,D483,Neoplasia de comportamento incerto ou desconhecido do retroperitônio
cid,D484,Neoplasia de comportamento incerto ou desconhecido do peritônio
cid,D485,Neoplasia de comportamento incerto ou desconhecido da pele
cid,D486,Neoplasia de comportamento incerto ou desconhecido da mama
cid,D487,Neoplasia de comportamento incerto ou desconhecido de outras localizações especificadas
cid,D489,Neoplasia de comportamento incerto ou desconhecido sem outra especificação
cid,D500,Anemia por deficiência de ferro secundária à perda de sangue (crônica)
cid,D501,Disfagia sideropênica
cid,D508,Outras anemias por deficiência de ferro
cid,D509,Anemia por deficiência de ferro não especificada
cid,D510,Anemia por deficiência de vitamina B12 devida à deficiência de fator intrínseco
cid,D511,Anemia por deficiência de vitamina B12 devida à má-absorção seletiva de vitamina B12 com proteinúria
cid,D512,Deficiência de transcobalamina II
cid,D513,Outras anemias por deficiência de vitamina B12 na dieta
cid,D518,Outras anemias por deficiência de vitamina B12
cid,D519,Anemia por deficiência de vitamina B12 não especificada
cid,D520,Anemia por deficiência de folato na dieta
cid,D521,Anemia por deficiência de folato induzida por drogas
cid,D528,Outras anemias por deficiência de folato
cid,D529,Anemia por deficiência de folato não especificada
cid,D530,Anemia por deficiência de proteínas
cid,D531,Outras anemias megaloblásticas não classificadas em outras partes
cid,D532,Anemia escorbútica
cid,D538,Outras anemias nutricionais especificadas
cid,D539,Anemia nutricional não especificada
cid,D550,Anemia devida à deficiência de glicose-6-fosfato-desidrogenase [G-6-PD]
cid,D551,Anemia devida a outros transtornos do metabolismo do glutation
cid,D552,Anemia devida a transtornos das enzimas glicolíticas
cid,D553,Anemia devida a transtornos do metabolismo de nucleotídios
cid,D558,Outras anemias devidas a transtornos enzimáticos
cid,D559,Anemia devida a transtorno enzimático não especificada
cid,D560,Talassemia alfa
cid,D561,Talassemia beta
cid,D562,Talassemia delta-beta
cid,D563,Estigma talassêmico
cid,D564,Persistência hereditária de hemoglobina fetal
cid,D568,Outras talassemias
cid,D569,Talassemia não especificada
cid,D570,Anemia falciforme com crise
cid,D571,Anemia falciforme sem crise
cid,D572,Transtornos falciformes heterozigóticos duplos
cid,D573,Estigma falciforme
cid,D578,Outros transtornos falciformes
cid,D580,Esferocitose hereditária
cid,D581,Eliptocitose hereditária
cid,D582,Outras hemoglobinopatias
cid,D588,Outras anemias hemolíticas hereditárias especificadas
cid,D589,Anemia hemolítica hereditária não especificada
cid,D590,Anemia hemolítica auto-imune induzida por droga
cid,D591,Outras anemias hemolíticas auto-imunes
cid,D592,Anemia hemolítica não-auto-imune induzida por drogas
cid,D593,Síndrome hemolítico-urêmica
cid,D594,Outras anemias hemolíticas não-autoimunes
cid,D595,Hemoglobinúria paroxística noturna [Marchiafava-Micheli]
cid,D596,Hemoglobinúria devida à hemólise por outras causas externas
cid,D598,Outras anemias hemolíticas adquiridas
cid,D599,Anemia hemolítica adquirida não especificada
cid,D600,Aplasia pura adquirida crônica da série vermelha
cid,D601,Aplasia pura adquirida transitória da série vermelha
cid,D608,Outras aplasias puras adquiridas da série vermelha
cid,D609,"Aplasia pura adquirida, não especificada, da série vermelha"
cid,D610,Anemia aplástica constitucional
cid,D611,Anemia aplástica induzida por drogas
cid,D612,Anemia aplástica devida a outros agentes externos
cid,D613,Anemia aplástica idiopática
cid,D618,Outras anemias aplásticas especificadas
cid,D619,Anemia aplástica não especificada
cid,D62,Anemia aguda pós-hemorrágica
cid,D630,Anemia em neoplasias
cid,D638,Anemia em outras doenças classificadas em outra parte
cid,D640,Anemia sideroblástica hereditária
cid,D641,Anemia sideroblástica secundária a doença
cid,D642,Anemia sideroblástica secundária ao uso de drogas e a toxinas
cid,D643,Outras anemias sideroblásticas
cid,D644,Anemia diseritropoética congênita
cid,D648,Outras anemias especificadas
cid,D649,Anemia não especificada
cid,D65,Coagulação intravascular disseminada [síndrome de desfibrinação]
cid,D66,Deficiência hereditária do fator VIII
cid,D67,Deficiência hereditária do fator IX
cid,D680,Doença de Von Willebrand
cid,D681,Deficiência hereditária de fator XI
cid,D682,Deficiência hereditária de outros fatores de coagulação
cid,D683,Transtorno hemorrágico devido a anticoagulantes circulantes
cid,D684,Deficiência adquirida de fator de coagulação
cid,D688,Outros defeitos especificados da coagulação
cid,D689,Defeito de coagulação não especificado
cid,D690,Púrpura alérgica
cid,D691,Defeitos qualitativos das plaquetas
cid,D692,Outras púrpuras não-trombocitopênicas
cid,D693,Púrpura trombocitopênica idiopática
cid,D694,Outra trombocitopenia primária
cid,D695,Trombocitopenia secundária
cid,D696,Trombocitopenia não especificada
cid,D698,Outras afecções hemorrágicas especificadas
cid,D699,Afecção hemorrágica não especificada
cid,D70,Agranulocitose
cid,D71,Transtornos funcionais dos neutrófilos polimorfonucleares
cid,D720,Anomalias genéticas dos leucócitos
cid,D721,Eosinofilia
cid,D728,Outros transtornos especificados dos glóbulos brancos
cid,D729,Transtornos não especificados dos glóbulos brancos
cid,D730,Hipoesplenismo
cid,D731,Hiperesplenismo
cid,D732,Esplenomegalia congestiva crônica
cid,D733,Abscesso do baço
cid,D734,Cisto do baço
cid,D735,Infarto do baço
cid,D738,Outras doenças do baço
cid,D739,Doença não especificada do baço
cid,D740,Metemoglobinemia congênita
cid,D748,Outras metemoglobinemias
cid,D749,Metemoglobinemia não especificada
cid,D750,Eritrocitose familiar
cid,D751,Policitemia secundária
cid,D752,Trombocitose essencial
cid,D758,Outras doenças especificadas do sangue e dos órgãos hematopoéticos
cid,D759,Doença não especificada do sangue e dos órgãos hematopoéticos
cid,D760,Histiocitose das células de Langerhans não classificadas em outra parte
cid,D761,Linfohistiocitose hemofagocítica
cid,D762,Síndrome hematofagocítica associada à infecção
cid,D763,Outras síndromes histiocíticas
cid,D77,Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
cid,D800,Hipogamaglobulinemia hereditária
cid,D801,Hipogamaglobulinemia não familiar
cid,D802,Deficiência seletiva de imunoglobulina A [IgA]
cid,D803,Deficiência seletiva de subclasses de imunoglobulina G [IgG]
cid,D804,Deficiência seletiva de imunoglobulina M [IgM]
cid,D805,Imunodeficiência com aumento de imunoglobulina M [IgM]
cid,D806,Deficiência de anticorpos com imunoglobulinas próximas do normal ou com hiperimunoglobulinemia
cid,D807,Hipogamaglobulinemia transitória da infância
cid,D808,Outras imunodeficiências com predominância de defeitos de anticorpos
cid,D809,Imunodeficiência não especificada com predominância de defeitos de anticorpos
cid,D810,Imunodeficiência combinada grave [SCID] com disgenesia reticular
cid,D811,Imunodeficiência combinada grave [SCID] com números baixos de células T e B
cid,D812,Imunodeficiência combinada grave [SCID] com números baixos ou normais de células B
cid,D813,Deficiência de adenosina-deaminase [ADA]
cid,D814,Síndrome de Nezelof
cid,D815,Deficiência de purina-nucleosídeo fosforilase [PNP]
cid,D816,Deficiência major classe I do complexo de histocompatibilidade
cid,D817,Deficiência major classe II do complexo de histocompatibilidade
cid,D818,Outras deficiências imunitárias combinadas
cid,D819,Deficiências imunitárias combinadas não especificadas
cid,D820,Síndrome de Wiskott-Aldrich
cid,D821,Síndrome de Di George
cid,D822,Imunodeficiência com encurtamento de membros
cid,D823,Imunodeficiência que se segue à resposta hereditária defeituosa ao vírus de Epstein-Barr (EB)
cid,D824,Síndrome da hiperimunoglobulina E [IgE]
cid,D828,"Imunodeficiências associadas com outros defeitos ""major"" especificados"
cid,D829,"Imunodeficiência associada com defeitos ""major"" não especificados"
cid,D830,Imunodeficiência comum variável com predominância de anormalidades do número e da função das células B
cid,D831,Imunodeficiência comum variável com predominância de transtornos imunorregulatórios de células T
cid,D832,Imunodeficiência comum variável com auto-anticorpos às células B ou T
cid,D838,Outras imunodeficiências comuns variáveis
cid,D839,Imunodeficiência comum variável não especificada
cid,D840,Defeito do antígeno-1 da função de linfócito [LFA-1]
cid,D841,Defeitos no sistema complemento
cid,D848,Outras imunodeficiências especificadas
cid,D849,Imunodeficiência não especificada
cid,D860,Sarcoidose do pulmão
cid,D861,Sarcoidose dos gânglios linfáticos
cid,D862,Sarcoidose do pulmão com sarcoidose dos gânglios linfáticos
cid,D863,Sarcoidose da pele
cid,D868,Sarcoidose de outros locais especificados e locais combinados
cid,D869,Sarcoidose não especificada
cid,D890,Hipergamaglobulinemia policlonal
cid,D891,Crioglobulinemia
cid,D892,Hipergamaglobulinemia não especificada
cid,D898,Outros transtornos especificados que comprometem o mecanismo imunitário não classificados em outra parte
cid,D899,Transtornos não especificados que comprometem o mecanismo imunitário
cid,E000,Síndrome da deficiência congênita de iodo do tipo neurológico
cid,E001,Síndrome da deficiência congênita de iodo do tipo mixedematoso
cid,E002,Síndrome da deficiência congênita de iodo do tipo misto
cid,E009,"Síndrome da deficiência congênita de iodo, não especificada"
cid,E010,Bócio (endêmico) difuso por deficiência de iodo
cid,E011,Bócio (endêmico) multinodular por deficiência de iodo
cid,E012,"Bócio (endêmico) não especificado, por deficiência de iodo"
cid,E018,"Outros transtornos tireoidianos e afecções associadas, relacionados com a deficiência de iodo"
cid,E02,Hipotireoidismo subclínico por deficiência de iodo
cid,E030,Hipotireoidismo congênito com bócio difuso
cid,E031,Hipotireoidismo congênito sem bócio
cid,E032,Hipotireoidismo devido a medicamentos e outras substâncias exógenas
cid,E033,Hipotireoidismo pós-infeccioso
cid,E034,Atrofia (adquirida) da tireóide
cid,E035,Coma mixedematoso
cid,E038,Outros hipotireoidismos especificados
cid,E039,Hipotireoidismo não especificado
cid,E040,Bócio não-tóxico difuso
cid,E041,Bócio não-tóxico uninodular
cid,E042,Bócio não-tóxico multinodular
cid,E048,Outro bócio não-tóxico especificado
cid,E049,"Bócio não-tóxico, não especificado"
cid,E050,Tireotoxicose com bócio difuso
cid,E051,Tireotoxicose com bócio tóxico uninodular
cid,E052,Tireotoxicose com bócio tóxico multinodular
cid,E053,Tireotoxicose causada por tecido tireoidiano ectópico
cid,E054,Tireotoxicose factícia
cid,E055,"Crise ou ""tempestade"" tireotóxica"
cid,E058,Outras tireotoxicoses
cid,E059,Tireotoxicose não especificada
cid,E060,Tireoidite aguda
cid,E061,Tireoidite subaguda
cid,E062,Tireoidite crônica com tireotoxicose transitória
cid,E063,Tireoidite auto-imune
cid,E064,Tireoidite induzida por droga
cid,E065,Outras tireoidites crônicas
cid,E069,Tireoidite não especificada
cid,E070,Hipersecreção de calcitonina
cid,E071,Bócio disormonogênico
cid,E078,Outros transtornos especificados da tireóide
cid,E079,Transtorno não especificado da tireóide
cid,E100,Diabetes mellitus insulino-dependente - com coma
cid,E101,Diabetes mellitus insulino-dependente - com cetoacidose
cid,E102,Diabetes mellitus insulino-dependente - com complicações renais
cid,E103,Diabetes mellitus insulino-dependente - com complicações oftálmicas
cid,E104,Diabetes mellitus insulino-dependente - com complicações neurológicas
cid,E105,Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas
cid,E106,Diabetes mellitus insulino-dependente - com outras complicações especificadas
cid,E107,Diabetes mellitus insulino-dependente - com complicações múltiplas
cid,E108,Diabetes mellitus insulino-dependente - com complicações não especificadas
cid,E109,Diabetes mellitus insulino-dependente - sem complicações
cid,E110,Diabetes mellitus não-insulino-dependente - com coma
cid,E111,Diabetes mellitus não-insulino-dependente - com cetoacidose
cid,E112,Diabetes mellitus não-insulino-dependente - com complicações renais
cid,E113,Diabetes mellitus não-insulino-dependente - com complicações oftálmicas
cid,E114,Diabetes mellitus não-insulino-dependente - com complicações neurológicas
cid,E115,Diabetes mellitus não-insulino-dependente - com complicações circulatórias periféricas
cid,E116,Diabetes mellitus não-insulino-dependente - com outras complicações especificadas
cid,E117,Diabetes mellitus não-insulino-dependente - com complicações múltiplas
cid,E118,Diabetes mellitus não-insulino-dependente - com complicações não especificadas
cid,E119,Diabetes mellitus não-insulino-dependente - sem complicações
